date,userid,gesture,location,face orientation,repetition,file
20181211,user1,3,8,3,17,BVP-Data-Batch1/20181115/user1/user1-3-8-3-17_bvp.npz
20181211,user1,3,6,5,18,BVP-Data-Batch1/20181115/user1/user1-3-6-5-18_bvp.npz
20181211,user1,2,7,2,13,BVP-Data-Batch1/20181115/user1/user1-2-7-2-13_bvp.npz
20181211,user1,5,7,2,10,BVP-Data-Batch1/20181115/user1/user1-5-7-2-10_bvp.npz
20181211,user1,4,8,4,15,BVP-Data-Batch1/20181115/user1/user1-4-8-4-15_bvp.npz
20181211,user1,2,6,5,13,BVP-Data-Batch1/20181115/user1/user1-2-6-5-13_bvp.npz
20181211,user1,3,6,5,9,BVP-Data-Batch1/20181115/user1/user1-3-6-5-9_bvp.npz
20181211,user1,6,7,5,1,BVP-Data-Batch1/20181115/user1/user1-6-7-5-1_bvp.npz
20181211,user1,1,8,5,17,BVP-Data-Batch1/20181115/user1/user1-1-8-5-17_bvp.npz
20181211,user1,5,7,1,13,BVP-Data-Batch1/20181115/user1/user1-5-7-1-13_bvp.npz
20181211,user1,2,6,4,4,BVP-Data-Batch1/20181115/user1/user1-2-6-4-4_bvp.npz
20181211,user1,4,6,2,2,BVP-Data-Batch1/20181115/user1/user1-4-6-2-2_bvp.npz
20181211,user1,1,6,3,18,BVP-Data-Batch1/20181115/user1/user1-1-6-3-18_bvp.npz
20181211,user1,2,7,1,8,BVP-Data-Batch1/20181115/user1/user1-2-7-1-8_bvp.npz
20181211,user1,2,6,1,16,BVP-Data-Batch1/20181115/user1/user1-2-6-1-16_bvp.npz
20181211,user1,3,8,4,2,BVP-Data-Batch1/20181115/user1/user1-3-8-4-2_bvp.npz
20181211,user1,6,7,3,19,BVP-Data-Batch1/20181115/user1/user1-6-7-3-19_bvp.npz
20181211,user1,3,6,3,16,BVP-Data-Batch1/20181115/user1/user1-3-6-3-16_bvp.npz
20181211,user1,2,8,1,9,BVP-Data-Batch1/20181115/user1/user1-2-8-1-9_bvp.npz
20181211,user1,5,6,2,14,BVP-Data-Batch1/20181115/user1/user1-5-6-2-14_bvp.npz
20181211,user1,2,6,5,17,BVP-Data-Batch1/20181115/user1/user1-2-6-5-17_bvp.npz
20181211,user1,5,7,4,11,BVP-Data-Batch1/20181115/user1/user1-5-7-4-11_bvp.npz
20181211,user1,6,7,1,3,BVP-Data-Batch1/20181115/user1/user1-6-7-1-3_bvp.npz
20181211,user1,4,8,3,17,BVP-Data-Batch1/20181115/user1/user1-4-8-3-17_bvp.npz
20181211,user1,3,7,1,17,BVP-Data-Batch1/20181115/user1/user1-3-7-1-17_bvp.npz
20181211,user1,2,7,2,3,BVP-Data-Batch1/20181115/user1/user1-2-7-2-3_bvp.npz
20181211,user1,1,7,2,1,BVP-Data-Batch1/20181115/user1/user1-1-7-2-1_bvp.npz
20181211,user1,6,8,3,8,BVP-Data-Batch1/20181115/user1/user1-6-8-3-8_bvp.npz
20181211,user1,3,7,3,12,BVP-Data-Batch1/20181115/user1/user1-3-7-3-12_bvp.npz
20181211,user1,6,7,3,5,BVP-Data-Batch1/20181115/user1/user1-6-7-3-5_bvp.npz
20181211,user1,6,6,3,2,BVP-Data-Batch1/20181115/user1/user1-6-6-3-2_bvp.npz
20181211,user1,5,8,4,15,BVP-Data-Batch1/20181115/user1/user1-5-8-4-15_bvp.npz
20181211,user1,6,8,1,12,BVP-Data-Batch1/20181115/user1/user1-6-8-1-12_bvp.npz
20181211,user1,3,8,4,6,BVP-Data-Batch1/20181115/user1/user1-3-8-4-6_bvp.npz
20181211,user1,2,7,4,2,BVP-Data-Batch1/20181115/user1/user1-2-7-4-2_bvp.npz
20181211,user1,2,7,2,4,BVP-Data-Batch1/20181115/user1/user1-2-7-2-4_bvp.npz
20181211,user1,4,6,1,7,BVP-Data-Batch1/20181115/user1/user1-4-6-1-7_bvp.npz
20181211,user1,6,7,5,8,BVP-Data-Batch1/20181115/user1/user1-6-7-5-8_bvp.npz
20181211,user1,5,7,2,8,BVP-Data-Batch1/20181115/user1/user1-5-7-2-8_bvp.npz
20181211,user1,4,7,1,17,BVP-Data-Batch1/20181115/user1/user1-4-7-1-17_bvp.npz
20181211,user1,1,7,3,9,BVP-Data-Batch1/20181115/user1/user1-1-7-3-9_bvp.npz
20181211,user1,5,6,2,4,BVP-Data-Batch1/20181115/user1/user1-5-6-2-4_bvp.npz
20181211,user1,2,6,3,4,BVP-Data-Batch1/20181115/user1/user1-2-6-3-4_bvp.npz
20181211,user1,3,6,1,8,BVP-Data-Batch1/20181115/user1/user1-3-6-1-8_bvp.npz
20181211,user1,4,7,4,10,BVP-Data-Batch1/20181115/user1/user1-4-7-4-10_bvp.npz
20181211,user1,3,8,5,12,BVP-Data-Batch1/20181115/user1/user1-3-8-5-12_bvp.npz
20181211,user1,1,8,1,8,BVP-Data-Batch1/20181115/user1/user1-1-8-1-8_bvp.npz
20181211,user1,2,8,4,4,BVP-Data-Batch1/20181115/user1/user1-2-8-4-4_bvp.npz
20181211,user1,2,6,1,4,BVP-Data-Batch1/20181115/user1/user1-2-6-1-4_bvp.npz
20181211,user1,4,8,4,7,BVP-Data-Batch1/20181115/user1/user1-4-8-4-7_bvp.npz
20181211,user1,2,6,3,13,BVP-Data-Batch1/20181115/user1/user1-2-6-3-13_bvp.npz
20181211,user1,5,8,5,13,BVP-Data-Batch1/20181115/user1/user1-5-8-5-13_bvp.npz
20181211,user1,1,7,5,6,BVP-Data-Batch1/20181115/user1/user1-1-7-5-6_bvp.npz
20181211,user1,6,7,1,11,BVP-Data-Batch1/20181115/user1/user1-6-7-1-11_bvp.npz
20181211,user1,5,7,5,20,BVP-Data-Batch1/20181115/user1/user1-5-7-5-20_bvp.npz
20181211,user1,2,7,1,16,BVP-Data-Batch1/20181115/user1/user1-2-7-1-16_bvp.npz
20181211,user1,3,6,4,7,BVP-Data-Batch1/20181115/user1/user1-3-6-4-7_bvp.npz
20181211,user1,1,8,1,16,BVP-Data-Batch1/20181115/user1/user1-1-8-1-16_bvp.npz
20181211,user1,6,8,3,6,BVP-Data-Batch1/20181115/user1/user1-6-8-3-6_bvp.npz
20181211,user1,3,8,4,3,BVP-Data-Batch1/20181115/user1/user1-3-8-4-3_bvp.npz
20181211,user1,1,7,2,19,BVP-Data-Batch1/20181115/user1/user1-1-7-2-19_bvp.npz
20181211,user1,2,6,3,16,BVP-Data-Batch1/20181115/user1/user1-2-6-3-16_bvp.npz
20181211,user1,1,6,4,3,BVP-Data-Batch1/20181115/user1/user1-1-6-4-3_bvp.npz
20181211,user1,6,7,4,3,BVP-Data-Batch1/20181115/user1/user1-6-7-4-3_bvp.npz
20181211,user1,2,6,1,3,BVP-Data-Batch1/20181115/user1/user1-2-6-1-3_bvp.npz
20181211,user1,3,7,5,13,BVP-Data-Batch1/20181115/user1/user1-3-7-5-13_bvp.npz
20181211,user1,2,7,3,16,BVP-Data-Batch1/20181115/user1/user1-2-7-3-16_bvp.npz
20181211,user1,3,7,4,12,BVP-Data-Batch1/20181115/user1/user1-3-7-4-12_bvp.npz
20181211,user1,4,6,3,1,BVP-Data-Batch1/20181115/user1/user1-4-6-3-1_bvp.npz
20181211,user1,6,7,2,12,BVP-Data-Batch1/20181115/user1/user1-6-7-2-12_bvp.npz
20181211,user1,2,7,3,2,BVP-Data-Batch1/20181115/user1/user1-2-7-3-2_bvp.npz
20181211,user1,4,7,3,19,BVP-Data-Batch1/20181115/user1/user1-4-7-3-19_bvp.npz
20181211,user1,6,8,4,2,BVP-Data-Batch1/20181115/user1/user1-6-8-4-2_bvp.npz
20181211,user1,3,6,5,10,BVP-Data-Batch1/20181115/user1/user1-3-6-5-10_bvp.npz
20181211,user1,1,6,5,8,BVP-Data-Batch1/20181115/user1/user1-1-6-5-8_bvp.npz
20181211,user1,6,6,4,16,BVP-Data-Batch1/20181115/user1/user1-6-6-4-16_bvp.npz
20181211,user1,3,7,5,3,BVP-Data-Batch1/20181115/user1/user1-3-7-5-3_bvp.npz
20181211,user1,3,8,2,16,BVP-Data-Batch1/20181115/user1/user1-3-8-2-16_bvp.npz
20181211,user1,6,8,4,14,BVP-Data-Batch1/20181115/user1/user1-6-8-4-14_bvp.npz
20181211,user1,2,7,4,13,BVP-Data-Batch1/20181115/user1/user1-2-7-4-13_bvp.npz
20181211,user1,4,8,5,19,BVP-Data-Batch1/20181115/user1/user1-4-8-5-19_bvp.npz
20181211,user1,6,8,5,11,BVP-Data-Batch1/20181115/user1/user1-6-8-5-11_bvp.npz
20181211,user1,6,8,5,4,BVP-Data-Batch1/20181115/user1/user1-6-8-5-4_bvp.npz
20181211,user1,3,6,4,1,BVP-Data-Batch1/20181115/user1/user1-3-6-4-1_bvp.npz
20181211,user1,6,7,2,10,BVP-Data-Batch1/20181115/user1/user1-6-7-2-10_bvp.npz
20181211,user1,4,8,2,1,BVP-Data-Batch1/20181115/user1/user1-4-8-2-1_bvp.npz
20181211,user1,1,8,3,20,BVP-Data-Batch1/20181115/user1/user1-1-8-3-20_bvp.npz
20181211,user1,3,7,2,6,BVP-Data-Batch1/20181115/user1/user1-3-7-2-6_bvp.npz
20181211,user1,4,6,1,4,BVP-Data-Batch1/20181115/user1/user1-4-6-1-4_bvp.npz
20181211,user1,1,8,4,1,BVP-Data-Batch1/20181115/user1/user1-1-8-4-1_bvp.npz
20181211,user1,4,7,1,19,BVP-Data-Batch1/20181115/user1/user1-4-7-1-19_bvp.npz
20181211,user1,4,6,5,5,BVP-Data-Batch1/20181115/user1/user1-4-6-5-5_bvp.npz
20181211,user1,2,6,5,6,BVP-Data-Batch1/20181115/user1/user1-2-6-5-6_bvp.npz
20181211,user1,1,6,4,8,BVP-Data-Batch1/20181115/user1/user1-1-6-4-8_bvp.npz
20181211,user1,2,8,2,2,BVP-Data-Batch1/20181115/user1/user1-2-8-2-2_bvp.npz
20181211,user1,2,7,2,7,BVP-Data-Batch1/20181115/user1/user1-2-7-2-7_bvp.npz
20181211,user1,4,8,1,18,BVP-Data-Batch1/20181115/user1/user1-4-8-1-18_bvp.npz
20181211,user1,1,8,3,14,BVP-Data-Batch1/20181115/user1/user1-1-8-3-14_bvp.npz
20181211,user1,3,8,2,18,BVP-Data-Batch1/20181115/user1/user1-3-8-2-18_bvp.npz
20181211,user1,1,8,3,4,BVP-Data-Batch1/20181115/user1/user1-1-8-3-4_bvp.npz
20181211,user1,2,7,4,17,BVP-Data-Batch1/20181115/user1/user1-2-7-4-17_bvp.npz
20181211,user1,1,7,3,12,BVP-Data-Batch1/20181115/user1/user1-1-7-3-12_bvp.npz
20181211,user1,1,6,2,1,BVP-Data-Batch1/20181115/user1/user1-1-6-2-1_bvp.npz
20181211,user1,2,8,3,5,BVP-Data-Batch1/20181115/user1/user1-2-8-3-5_bvp.npz
20181211,user1,3,7,2,11,BVP-Data-Batch1/20181115/user1/user1-3-7-2-11_bvp.npz
20181211,user1,3,8,1,1,BVP-Data-Batch1/20181115/user1/user1-3-8-1-1_bvp.npz
20181211,user1,3,7,2,16,BVP-Data-Batch1/20181115/user1/user1-3-7-2-16_bvp.npz
20181211,user1,1,7,5,1,BVP-Data-Batch1/20181115/user1/user1-1-7-5-1_bvp.npz
20181211,user1,4,6,5,12,BVP-Data-Batch1/20181115/user1/user1-4-6-5-12_bvp.npz
20181211,user1,5,8,5,19,BVP-Data-Batch1/20181115/user1/user1-5-8-5-19_bvp.npz
20181211,user1,6,7,1,8,BVP-Data-Batch1/20181115/user1/user1-6-7-1-8_bvp.npz
20181211,user1,4,6,4,7,BVP-Data-Batch1/20181115/user1/user1-4-6-4-7_bvp.npz
20181211,user1,5,6,5,15,BVP-Data-Batch1/20181115/user1/user1-5-6-5-15_bvp.npz
20181211,user1,4,6,5,15,BVP-Data-Batch1/20181115/user1/user1-4-6-5-15_bvp.npz
20181211,user1,6,7,5,16,BVP-Data-Batch1/20181115/user1/user1-6-7-5-16_bvp.npz
20181211,user1,3,6,5,16,BVP-Data-Batch1/20181115/user1/user1-3-6-5-16_bvp.npz
20181211,user1,3,8,5,3,BVP-Data-Batch1/20181115/user1/user1-3-8-5-3_bvp.npz
20181211,user1,4,8,5,8,BVP-Data-Batch1/20181115/user1/user1-4-8-5-8_bvp.npz
20181211,user1,5,6,5,9,BVP-Data-Batch1/20181115/user1/user1-5-6-5-9_bvp.npz
20181211,user1,3,8,4,9,BVP-Data-Batch1/20181115/user1/user1-3-8-4-9_bvp.npz
20181211,user1,3,7,4,15,BVP-Data-Batch1/20181115/user1/user1-3-7-4-15_bvp.npz
20181211,user1,5,6,4,8,BVP-Data-Batch1/20181115/user1/user1-5-6-4-8_bvp.npz
20181211,user1,1,7,4,16,BVP-Data-Batch1/20181115/user1/user1-1-7-4-16_bvp.npz
20181211,user1,6,7,1,20,BVP-Data-Batch1/20181115/user1/user1-6-7-1-20_bvp.npz
20181211,user1,2,8,4,9,BVP-Data-Batch1/20181115/user1/user1-2-8-4-9_bvp.npz
20181211,user1,5,6,3,19,BVP-Data-Batch1/20181115/user1/user1-5-6-3-19_bvp.npz
20181211,user1,3,7,4,4,BVP-Data-Batch1/20181115/user1/user1-3-7-4-4_bvp.npz
20181211,user1,5,6,5,18,BVP-Data-Batch1/20181115/user1/user1-5-6-5-18_bvp.npz
20181211,user1,4,6,3,10,BVP-Data-Batch1/20181115/user1/user1-4-6-3-10_bvp.npz
20181211,user1,1,7,1,3,BVP-Data-Batch1/20181115/user1/user1-1-7-1-3_bvp.npz
20181211,user1,2,6,4,14,BVP-Data-Batch1/20181115/user1/user1-2-6-4-14_bvp.npz
20181211,user1,2,7,1,5,BVP-Data-Batch1/20181115/user1/user1-2-7-1-5_bvp.npz
20181211,user1,4,8,5,14,BVP-Data-Batch1/20181115/user1/user1-4-8-5-14_bvp.npz
20181211,user1,1,8,4,18,BVP-Data-Batch1/20181115/user1/user1-1-8-4-18_bvp.npz
20181211,user1,6,8,3,20,BVP-Data-Batch1/20181115/user1/user1-6-8-3-20_bvp.npz
20181211,user1,5,8,5,17,BVP-Data-Batch1/20181115/user1/user1-5-8-5-17_bvp.npz
20181211,user1,4,7,1,11,BVP-Data-Batch1/20181115/user1/user1-4-7-1-11_bvp.npz
20181211,user1,2,6,3,15,BVP-Data-Batch1/20181115/user1/user1-2-6-3-15_bvp.npz
20181211,user1,1,6,3,6,BVP-Data-Batch1/20181115/user1/user1-1-6-3-6_bvp.npz
20181211,user1,2,6,3,11,BVP-Data-Batch1/20181115/user1/user1-2-6-3-11_bvp.npz
20181211,user1,5,6,4,7,BVP-Data-Batch1/20181115/user1/user1-5-6-4-7_bvp.npz
20181211,user1,5,6,3,1,BVP-Data-Batch1/20181115/user1/user1-5-6-3-1_bvp.npz
20181211,user1,6,6,4,3,BVP-Data-Batch1/20181115/user1/user1-6-6-4-3_bvp.npz
20181211,user1,3,6,2,13,BVP-Data-Batch1/20181115/user1/user1-3-6-2-13_bvp.npz
20181211,user1,2,7,1,13,BVP-Data-Batch1/20181115/user1/user1-2-7-1-13_bvp.npz
20181211,user1,6,7,3,14,BVP-Data-Batch1/20181115/user1/user1-6-7-3-14_bvp.npz
20181211,user1,2,8,1,17,BVP-Data-Batch1/20181115/user1/user1-2-8-1-17_bvp.npz
20181211,user1,6,6,2,14,BVP-Data-Batch1/20181115/user1/user1-6-6-2-14_bvp.npz
20181211,user1,3,7,1,4,BVP-Data-Batch1/20181115/user1/user1-3-7-1-4_bvp.npz
20181211,user1,4,7,5,14,BVP-Data-Batch1/20181115/user1/user1-4-7-5-14_bvp.npz
20181211,user1,1,8,2,5,BVP-Data-Batch1/20181115/user1/user1-1-8-2-5_bvp.npz
20181211,user1,5,8,2,4,BVP-Data-Batch1/20181115/user1/user1-5-8-2-4_bvp.npz
20181211,user1,2,6,4,6,BVP-Data-Batch1/20181115/user1/user1-2-6-4-6_bvp.npz
20181211,user1,1,8,2,10,BVP-Data-Batch1/20181115/user1/user1-1-8-2-10_bvp.npz
20181211,user1,6,8,4,8,BVP-Data-Batch1/20181115/user1/user1-6-8-4-8_bvp.npz
20181211,user1,5,7,5,13,BVP-Data-Batch1/20181115/user1/user1-5-7-5-13_bvp.npz
20181211,user1,3,8,5,7,BVP-Data-Batch1/20181115/user1/user1-3-8-5-7_bvp.npz
20181211,user1,3,7,2,8,BVP-Data-Batch1/20181115/user1/user1-3-7-2-8_bvp.npz
20181211,user1,1,6,5,19,BVP-Data-Batch1/20181115/user1/user1-1-6-5-19_bvp.npz
20181211,user1,3,6,5,6,BVP-Data-Batch1/20181115/user1/user1-3-6-5-6_bvp.npz
20181211,user1,6,7,1,17,BVP-Data-Batch1/20181115/user1/user1-6-7-1-17_bvp.npz
20181211,user1,4,6,4,9,BVP-Data-Batch1/20181115/user1/user1-4-6-4-9_bvp.npz
20181211,user1,3,7,3,13,BVP-Data-Batch1/20181115/user1/user1-3-7-3-13_bvp.npz
20181211,user1,5,7,3,16,BVP-Data-Batch1/20181115/user1/user1-5-7-3-16_bvp.npz
20181211,user1,3,7,4,7,BVP-Data-Batch1/20181115/user1/user1-3-7-4-7_bvp.npz
20181211,user1,3,8,1,19,BVP-Data-Batch1/20181115/user1/user1-3-8-1-19_bvp.npz
20181211,user1,2,7,4,19,BVP-Data-Batch1/20181115/user1/user1-2-7-4-19_bvp.npz
20181211,user1,5,8,3,3,BVP-Data-Batch1/20181115/user1/user1-5-8-3-3_bvp.npz
20181211,user1,2,8,2,16,BVP-Data-Batch1/20181115/user1/user1-2-8-2-16_bvp.npz
20181211,user1,3,6,3,2,BVP-Data-Batch1/20181115/user1/user1-3-6-3-2_bvp.npz
20181211,user1,5,6,4,1,BVP-Data-Batch1/20181115/user1/user1-5-6-4-1_bvp.npz
20181211,user1,2,8,3,14,BVP-Data-Batch1/20181115/user1/user1-2-8-3-14_bvp.npz
20181211,user1,4,7,5,4,BVP-Data-Batch1/20181115/user1/user1-4-7-5-4_bvp.npz
20181211,user1,5,8,1,9,BVP-Data-Batch1/20181115/user1/user1-5-8-1-9_bvp.npz
20181211,user1,2,8,5,14,BVP-Data-Batch1/20181115/user1/user1-2-8-5-14_bvp.npz
20181211,user1,1,6,1,4,BVP-Data-Batch1/20181115/user1/user1-1-6-1-4_bvp.npz
20181211,user1,3,8,5,6,BVP-Data-Batch1/20181115/user1/user1-3-8-5-6_bvp.npz
20181211,user1,2,7,2,9,BVP-Data-Batch1/20181115/user1/user1-2-7-2-9_bvp.npz
20181211,user1,5,7,5,18,BVP-Data-Batch1/20181115/user1/user1-5-7-5-18_bvp.npz
20181211,user1,1,7,4,11,BVP-Data-Batch1/20181115/user1/user1-1-7-4-11_bvp.npz
20181211,user1,2,6,5,5,BVP-Data-Batch1/20181115/user1/user1-2-6-5-5_bvp.npz
20181211,user1,4,6,3,18,BVP-Data-Batch1/20181115/user1/user1-4-6-3-18_bvp.npz
20181211,user1,1,8,3,3,BVP-Data-Batch1/20181115/user1/user1-1-8-3-3_bvp.npz
20181211,user1,2,6,5,4,BVP-Data-Batch1/20181115/user1/user1-2-6-5-4_bvp.npz
20181211,user1,3,8,2,9,BVP-Data-Batch1/20181115/user1/user1-3-8-2-9_bvp.npz
20181211,user1,4,8,4,12,BVP-Data-Batch1/20181115/user1/user1-4-8-4-12_bvp.npz
20181211,user1,6,6,3,7,BVP-Data-Batch1/20181115/user1/user1-6-6-3-7_bvp.npz
20181211,user1,4,6,1,19,BVP-Data-Batch1/20181115/user1/user1-4-6-1-19_bvp.npz
20181211,user1,5,8,1,6,BVP-Data-Batch1/20181115/user1/user1-5-8-1-6_bvp.npz
20181211,user1,5,7,4,6,BVP-Data-Batch1/20181115/user1/user1-5-7-4-6_bvp.npz
20181211,user1,2,6,3,12,BVP-Data-Batch1/20181115/user1/user1-2-6-3-12_bvp.npz
20181211,user1,6,8,2,19,BVP-Data-Batch1/20181115/user1/user1-6-8-2-19_bvp.npz
20181211,user1,1,8,4,19,BVP-Data-Batch1/20181115/user1/user1-1-8-4-19_bvp.npz
20181211,user1,6,6,2,10,BVP-Data-Batch1/20181115/user1/user1-6-6-2-10_bvp.npz
20181211,user1,1,6,1,14,BVP-Data-Batch1/20181115/user1/user1-1-6-1-14_bvp.npz
20181211,user1,5,7,1,9,BVP-Data-Batch1/20181115/user1/user1-5-7-1-9_bvp.npz
20181211,user1,4,7,2,12,BVP-Data-Batch1/20181115/user1/user1-4-7-2-12_bvp.npz
20181211,user1,6,6,4,19,BVP-Data-Batch1/20181115/user1/user1-6-6-4-19_bvp.npz
20181211,user1,4,7,3,13,BVP-Data-Batch1/20181115/user1/user1-4-7-3-13_bvp.npz
20181211,user1,3,7,5,18,BVP-Data-Batch1/20181115/user1/user1-3-7-5-18_bvp.npz
20181211,user1,1,6,2,6,BVP-Data-Batch1/20181115/user1/user1-1-6-2-6_bvp.npz
